URL,Gegenstand,Zidane,Vivi,Garnet,Steiner,Freia,Quina,Eiko,Mahagon
https://finalfantasy.fandom.com/wiki/Adaman_Hat_(Final_Fantasy_IX),"Adaman Hat","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Adaman_Vest_(Final_Fantasy_IX),"Adaman Vest","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Aegis_Gloves_(Final_Fantasy_IX),"Aegis Gloves","Kein Bedarf","Kein Bedarf","Kein Bedarf",Eigentümer,"Kein Bedarf","Kein Bedarf","Kein Bedarf","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Southern_Tropical_Outfits,"Aloha T-shirt","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht"
https://finalfantasy.fandom.com/wiki/Amethyst_(Final_Fantasy_IX),Amethyst,"Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht"
https://finalfantasy.fandom.com/wiki/Ancient_Aroma,"Ancient Aroma","Kein Bedarf","Kein Bedarf","Möchte und kann","Kein Bedarf","Kann, braucht nicht","Kein Bedarf","Kann, braucht nicht","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Angel_Earrings_(Final_Fantasy_IX),"Angel Earrings","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Anklet_(Final_Fantasy_IX),Anklet,"Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Aquamarine_(Final_Fantasy_IX),Aquamarine,"Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Bandana_(Final_Fantasy_IX),Bandana,"Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Barbut_(Final_Fantasy_IX),Barbut,"Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Barette_(Final_Fantasy_IX),Barette,"Möchte, kann nicht","Kein Bedarf","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Battle_Boots_(Final_Fantasy_IX),"Battle Boots","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Black_Belt_(Final_Fantasy_IX),"Black Belt","Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Black_Hood_(Final_Fantasy_IX),"Black Hood","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Black_Robe_(Final_Fantasy_IX),"Black Robe","Kein Bedarf","Möchte und kann","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Kann, braucht nicht","Möchte, kann nicht","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Bone_Wrist_(Final_Fantasy_IX),"Bone Wrist","Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Bracer_(Final_Fantasy_IX),Bracer,"Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Brave_Suit_(Final_Fantasy_IX),"Brave Suit","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Brigandine_(Final_Fantasy_IX),Brigandine,"Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Bronze_Armor_(Final_Fantasy_IX),"Bronze Armor","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Bronze_Gloves_(Final_Fantasy_IX),"Bronze Gloves","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Bronze_Helm_(Final_Fantasy_IX),"Bronze Helm","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Bronze_Vest_(Final_Fantasy_IX),"Bronze Vest","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Cachusha_(Final_Fantasy_IX),Cachusha,"Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Carabini_Mail_(Final_Fantasy_IX),"Carabini Mail","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Chain_Mail_(Final_Fantasy_IX),"Chain Mail","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Chain_Plate_(Final_Fantasy_IX),"Chain Plate","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Chimera_Armlet,"Chimera Armlet","Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Circlet_(Final_Fantasy_IX),Circlet,"Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Coral_Ring_(Final_Fantasy_IX),"Coral Ring","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Coronet_(Final_Fantasy_IX),Coronet,"Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Cotton_Robe_(Final_Fantasy_IX),"Cotton Robe","Kein Bedarf","Kann, braucht nicht","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Kann, braucht nicht","Möchte und kann","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Cross_Helm_(Final_Fantasy_IX),"Cross Helm","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Dark_Gear_(Final_Fantasy_IX),"Dark Gear","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Dark_Hat_(Final_Fantasy_IX),"Dark Hat","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Dark_Matter_(Final_Fantasy_IX),"Dark Matter","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht"
https://finalfantasy.fandom.com/wiki/Defense_Gloves_(Final_Fantasy_IX),"Defense Gloves","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Demon%27s_Mail_(Final_Fantasy_IX),"Demon's Mail","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Demon%27s_Vest_(Final_Fantasy_IX),"Demon's Vest","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Desert_Boots_(Final_Fantasy_IX),"Desert Boots","Möchte und kann","Kann, braucht nicht","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Diamond_(Final_Fantasy_IX),Diamond,"Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Diamond_Armor_(Final_Fantasy_IX),"Diamond Armor","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Diamond_Gloves_(Final_Fantasy_IX),"Diamond Gloves","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Diamond_Helm_(Final_Fantasy_IX),"Diamond Helm","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Dragon_Mail_(Final_Fantasy_IX),"Dragon Mail","Kein Bedarf","Kein Bedarf","Kein Bedarf","Kein Bedarf",Eigentümer,"Kein Bedarf","Kein Bedarf","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Dragon_Wrist_(Final_Fantasy_IX),"Dragon Wrist","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Egoist%27s_Armlet_(Final_Fantasy_IX),"Egoist's Armlet","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Emerald_(Final_Fantasy_IX),Emerald,"Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann","Möchte und kann","Kann, braucht nicht"
https://finalfantasy.fandom.com/wiki/Extension_(Final_Fantasy_IX),Extension,"Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Fairy_Earrings_(Final_Fantasy_IX),"Fairy Earrings","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Feather_Boots_(Final_Fantasy_IX),"Feather Boots","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Feather_Hat_(Final_Fantasy_IX),"Feather Hat","Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Flash_Hat_(Final_Fantasy_IX),"Flash Hat","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Kein Bedarf","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Gaia_Gear_(Final_Fantasy_IX),"Gaia Gear","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Garnet_(Final_Fantasy_IX_item),Garnet,"Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Gauntlets_(Final_Fantasy_IX),Gauntlets,"Kein Bedarf","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Genji_Armor_(Final_Fantasy_IX),"Genji Armor","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Genji_Gloves_(Final_Fantasy_IX),"Genji Gloves","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Genji_Helmet_(Final_Fantasy_IX),"Genji Helmet","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Germinas_Boots_(Final_Fantasy_IX),"Germinas Boots","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Glass_Armlet,"Glass Armlet","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Glass_Buckle_(Final_Fantasy_IX),"Glass Buckle","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Glutton%27s_Robe_(Final_Fantasy_IX),"Glutton's Robe","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht",Eigentümer,"Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Gold_Armor_(Final_Fantasy_IX),"Gold Armor","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Gold_Choker_(Final_Fantasy_IX),"Gold Choker","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Gold_Helm_(Final_Fantasy_IX),"Gold Helm","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Golden_Hairpin_(Final_Fantasy_IX),"Golden Hairpin","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Golden_Skullcap_(Final_Fantasy_IX),"Golden Skullcap","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Grand_Armor_(Final_Fantasy_IX),"Grand Armor","Möchte, kann nicht","Kein Bedarf","Möchte, kann nicht","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Grand_Helm_(Final_Fantasy_IX),"Grand Helm","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Green_Beret_(Final_Fantasy_IX),"Green Beret","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Headgear_(Final_Fantasy_IX),Headgear,"Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Holy_Miter_(Final_Fantasy_IX),"Holy Miter","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Iron_Helm_(Final_Fantasy_IX),"Iron Helm","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte, kann nicht"
